匹	匚	ヒツ [外] ヒキ	ひき [外] たぐ.う	たぐう。並ならぶ。つれあう。; たぐい。対ついになる相手あいて。二ふたつで一組ひとくみのもの。; たぐい。仲間なかま。同類どうるい。; 牛うしや馬うまなどを数かぞえることば。; 布地ぬのじの長ながさの単位たんい。一匹いっぴきは四丈よんじょう。; ひき。動物どうぶつを数かぞえることば。; ひき。布地ぬのじを数かぞえることば。一匹いっぴきは二反にたん。; ひき。昔むかしの金銭きんせんの単位たんい。一匹いっぴきは十文じゅうもん、また後のちには二十五文にじゅうごもん。	常 4級
匿	匚	トク [外] ジョク	[外] かくま.う・かく.れる	かくまう。かくれる。かくす。姿すがたをかくす。公おおやけにしない。人ひとの目めにふれないようにする。	常 3級
卑	十	ヒ	いや.しい・いや.しむ・いや.しめる [外] ひく.い	いやしい。ひくい。身分みぶんが低ひくい。また、行おこないが下品げひん。; いやしむ。いやしめる。さげすむ。見下みさげる。; 自分じぶんをへりくだっていうことば。; 「しむ」と読よみ、「～させる」の意い。	常 3級
卓	十	タク [外] シツ	[外] すぐ.れる・つくえ	すぐれる。抜ぬきんでる。; たかい。ひときわ高たかく抜ぬきんでる。; つくえ。台だい。	常 3級
占	卜	セン	うらな.う・し.める	うらなう。物事ものごとの吉凶きっきょうを判断はんだんする。; しめる。物もの・場所ばしょ・地位ちいなどを自分じぶんのものとする。	常 4級
即	卩	ソク [外] ショク	[外] すなわ.ち・つ.く	つく。位置いちにつく。地位ちいにつく。; つく。近ちかづく。くっつく。; 「すなわち」と読よみ、「すぐに」「ただちに」の意いを表あらわす。; 「すなわち」と読よみ、「つまり」「ほかでもなく」「とりもなおさず」の意いを表あらわす。; 「すなわち」と読よみ、「～であれば～となる」の意いを表あらわす。; 「もし」と読よみ、「もし～ならば」と仮定かていの意いを表あらわす。	常 4級
却	卩	キャク [外] カク	[外] かえ.って・しりぞ.く・しりぞ.ける	かえって。逆ぎゃくに。反対はんたいに。; しりぞく。さがる。後うしろに引ひく。; しりぞける。拒こばむ。押おし戻もどす。; 動詞どうしの後あとにつけて「～してしまう」「～し終おわる」の意いを表あらわす。	常 4級
卸	卩	[外] シャ	おろし・おろ.す	おろす。重おもい荷物にもつをおろす。転てんじて、楽らくになる。; 馬うまから馬具ばぐを解とく。; おろし。おろす。問屋とんやが小売店こうりてんに商品しょうひんを売うる。	常 3級
厘	厂	リン [外] テン・デン・リ		りん。長ながさの単位たんいで、一尺いっしゃくの千分せんぶんの一いち。; りん。重おもさの単位たんいで、一両いちりょうの千分せんぶんの一いち。; りん。面積めんせきの単位たんいで、一畝いっせの百分ひゃくぶんの一いち。; りん。割合わりあいの単位たんいで、一割いちわりの百分ひゃくぶんの一いち。; 店みせ。屋敷やしき。＝廛（俗字ぞくじや略字りゃくじとされることもある。）; りん。貨幣かへい・重おもさなどの単位たんい。; 貨幣かへいの単位たんいで、一銭いっせんの十分じゅうぶんの一いち。; 重おもさの単位たんいで、一匁いちもんめの百分ひゃくぶんの一いち。	常 3級
又	又	[外] ユウ・ウ	また [外] ふたた.び	また。さらに。そのうえ。; また。ふたたび。; みぎ。右みぎの手て。; ゆるす。＝宥; または。あるいは。もしくは。	常 3級
及	又	キュウ	およ.び・およ.ぶ・およ.ぼす	および。ならびに。ふたつ以上いじょうのものを並列へいれつさせる。; およぶ。いたる。追おいつく。達たっする。; およぼす。行いきわたる。行いきわたらせる。	常 4級
双	又	ソウ	ふた [外] たぐい・なら.ぶ・ふた.つ・もろ	ふた。ふたつ。たぐい。もろ。対つい。二ふたつで一組ひとくみのものの両方りょうほうとも。; ならぶ。ならび。同等どうとうの力ちからを持もつ。匹敵ひってきする。; 二ふたつで一組ひとくみのものの組数くみすうを数かぞえる助数詞じょすうし。	常 3級
叫	口	キョウ	さけ.ぶ	さけぶ。大声おおごえをだす。; 呼よぶ。呼よびかける。また、命名めいめいする。・・・と呼よぶ。	常 4級
召	口	ショウ	め.す	めす。呼よび寄よせる。呼よび出だす。; めし。おめし。目上めうえの人ひとからの招まねき。; まねく。まねき寄よせる。招待しょうたいする。; 古代こだい中国ちゅうごくの国名こくめい。	常 4級
吉	口	キチ・キツ	[外] よ.い	よい。賢かしこい。優すぐれている。立派りっぱである。; よい。めでたい。幸さいわい。縁起えんぎがよい。; ついたち。その月つきの最初さいしょの日ひ。朔日さくじつ。初吉しょきち。	常 3級
吏	口	リ	[外] つかさ	つかさ。役人やくにん。特とくに、下級かきゅうの役人やくにんのこと。上級じょうきゅうの役人やくにんを官と呼よび区別くべつする。	常 3級
吐	口	ト	は.く [外] つ.く・ぬ.かす	はく。口くちから吐はき出だす。; 述のべる。言葉ことばを口くちに出だす。; はく。はき出だす。はきもどす。また、はき出だしたもの。へど。例れい：嘔吐おうと; つく。息いきを吐はき出だす。; つく。ぬかす。好このましくないことを口くちに出だしていう。	常 4級
含	口	ガン [外] カン・ゴン	ふく.む・ふく.める	ふくむ。口くちの中なかにいれる。; つつみもつ。中なかに包つつんで持もつ。収おさめ入いれる。; 昔むかしの葬礼そうれいで、死者ししゃの口くちの中なかにふくませた玉たま。; ふくめる。言いい聞きかせる。説明せつめいして納得なっとくさせる。	常 4級
吹	口	スイ	ふ.く	ふく。口くちをとがらせて息いきをはく。; ふく。楽器がっきをふいて鳴ならす。; ふく。風かぜがふく。; 吹奏すいそう楽器がっき。ふき鳴ならす楽器がっき。; ふく。金属きんぞくをとかして加工かこうする。	常 4級
咲	口	[外] ショウ	さ.く [外] わら.う	わらう。＝笑; さく。花はながさく。つぼみが開ひらく。	常 4級
哀	口	アイ	あわ.れ・あわ.れむ [外] かな.しい・かな.しむ	あわれ。あわれむ。かわいそうに思おもう。; かなしい。かなしむ。心こころが痛いたんでつらい気持きもち。; 喪も。喪中もちゅう。特とくに父母ふぼの喪もについていう。	常 3級
哲	口	テツ	[外] あき.らか・さと.い	あきらか。道理どうりに明あかるい。物事ものごとに精通せいつうしている。; さとい。かしこい。利口りこう。賢明けんめい。	常 3級
唐	口	トウ	から [外] もろこし	古代こだい中国ちゅうごくの王朝おうちょうの名な。; ほら。大言たいげん。でたらめ。大おおげさな言葉ことば。; 中身なかみがなく空からっぽなさま。うつろなさま。むなしいさま。; 広ひろい。大おおきい。; つつみ。土手どて。盛土もりつちの道みち。; にわかに。突然とつぜん。; 堂どうの下したから門もんへ続つづく通路つうろ。; から。もろこし。中国ちゅうごくの意い。また、外国がいこくの意い。	常 4級
啓	口	ケイ	[外] ひら.く・もう.す	ひらく。あける。開放かいほうする。開あけ放はなす。; ひらく。教おしえ導みちびく。教おしえ諭さとす。理解りかいさせる。; ひらく。物事ものごとを始はじめる。物事ものごとを起おこす。開拓かいたくする。; 先さきに立たって導みちびく。軍ぐんの先鋒せんぽう。先払さきばらい。; もうす。申もうし述のべる。申もうし上あげる。; 公こう文書ぶんしょ。上申じょうしん書しょ。; 立春りっしゅん。立夏りっか。	常 3級
喚	口	カン	[外] さけ.ぶ・よ.ぶ・わめ.く	よぶ。呼よび寄よせる。呼よびつける。; さけぶ。わめく。おめく。大声おおごえをあげて騒さわぎ立たてる。	常 3級
喫	口	キツ	[外] く.う・す.う・の.む	食くう。食たべる。; 飲のむ。吸すう。; 受うける。こうむる。～される。特とくに損害そんがいや痛手いたでを受うけたり不意ふいをつかれたりするの意い。	常 3級
嘆	口	タン	なげ.かわしい・なげ.く	なげく。なげかわしい。ため息いきをついて悲かなしむ。; 深ふかく感心かんしんしてほめる。ほめたたえる。	常 4級
嘱	口	ショク	[外] たの.む	たのむ。まかせる。言いいつける。	常 3級
噴	口	フン [外] ホン	ふ.く [外] は.く	ふく。はく。ふき出だす。はき出だす。激はげしくふき出だすことをいう場合ばあいが多おおい。	常 4級
圏	囗	ケン	[外] かこ.い	かこい。家畜かちくを飼かうためのかこい。; まげもの。木きをまるく曲まげてつくった容器ようき。; まるい。まるい形かたちのもの。; 限かぎられた一定いっていの範囲はんい。また、仕切しきられた範囲はんい。	常 4級
坊	土	ボウ・ボッ [外] ホウ	[外] へや・まち	まち。村むらや町まちなどの区画くかくの一ひとつ。市街しがい。; へや。いえ。住すまい。; てら。寺院じいん。僧そうの住すまい。; ふせぐ。守まもる。＝防; 僧そう。お坊ぼうさん。; 男おとこの子こを親したしみをこめて呼よぶことば。坊ぼうや。; 他人たにんを親したしんで、またあざけっていうことば。	常 4級
坑	土	コウ	[外] あな	あな。地面じめんのくぼんだところ。; あなにする。穴あなに落おとす。穴あなに埋うめる。	常 3級
埋	土	マイ	う.まる・う.める・う.もれる [外] い.ける・うず.まる・うず.もれる	うめる。うずめる。いける。土つちの中なかにうめる。; うまる。うもれる。うずまる。うずもれる。人ひとの目めにふれなくなる。; うめる。不足ふそくした分ぶんをほかで補おぎなう。	常 3級
執	土	シツ・シュウ	と.る [外] とら.える	とる。手てにとる。手てに持もつ。; とる。つかさどる。とりあつかう。とり行おこなう。; とる。しっかりと守まもる。しっかりと保たもつ。; とらえる。つかまえる。; 友人ゆうじん。同志どうし。親したしい人ひと。	常 4級
堅	土	ケン	かた.い	かたい。つよい。しっかりしている。; かたくする。しっかりする。	常 4級
堤	土	テイ	つつみ	つつみ。水みずをせきとめるために土つちを盛もりあげてつくった土手どて。堤防ていぼう。	常 4級
塊	土	カイ	かたまり [外] つちくれ	つちくれ。ひとかたまりの土つち。; かたまり。ひとつにかたまったもの。; ひとりぼっち。孤独こどく。孤立こりつ。	常 3級
塔	土	トウ		細ほそくて高たかさの高たかい建造物けんぞうぶつ。; 梵語ぼんごの「卒塔婆そとば」を略りゃくしたもの。仏骨ぶっこつを納おさめるための建物たてもの。	常 4級
塗	土	ト	ぬ.る [外] どろ・まぶ.す・まみ.れる・みち	ぬる。液状えきじょうのものを伸のばしてぬる。; どろ。「塗炭とたん」は泥どろと炭すみ。転てんじてきたないもの。; まみれる。よごれる。; みち。道路どうろ。; まぶす。全体ぜんたいにぬりつける。	常 3級
墜	土	ツイ	[外] お.ちる・お.とす	おちる。おとす。落下らっかする。上うえから下したに落おちる。; うしなう。なくす。おとろえる。	常 3級
